,adress,city,room_type,rent,surface m2,furnish,availability,latitude,longitude,utilities,link,living_room,kitchen,shower,toilet,internet,energy_label,pets,room,geometry
0,Hollandseweg,Wageningen,Apartment,1450,83,Furnished,14-05-'22 - Indefinite period  1d,51.979498,5.672876,excluded,https://kamernet.nl/en/for-rent/apartment-wageningen/hollandseweg/apartment-2034402,Own,Own,Own,Own,No,Unknown,No,5,POINT (5.672876 51.979498)
1,Generaal Foulkesweg,Wageningen,Room,395,20,Unfurnished,01-05-'22 - 01-01-'23  5d,51.96705,5.683232,included,https://kamernet.nl/en/for-rent/room-wageningen/generaal-foulkesweg/room-2033680,Unknown,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (5.683232 51.96705)
2,Gruttoweide,Wageningen,Room,395,14,Unfurnished,01-04-'22 - Indefinite period  1w,51.97683,5.650604,included,https://kamernet.nl/en/for-rent/room-wageningen/gruttoweide/room-2033172,Own,Own,Shared,Shared,Yes,Unknown,2,1,POINT (5.650604 51.97683)
3,Van Uvenweg,Wageningen,Room,250,8,Furnished,01-04-'22 - Indefinite period  1w,51.973379,5.661662,included,https://kamernet.nl/en/for-rent/room-wageningen/van-uvenweg/room-2033107,Unknown,Own,Shared,Shared,Yes,Unknown,1,1,POINT (5.661662 51.973379)
4,Plantsoen,Wageningen,Room,477,19,Unfurnished,29-03-'22 - Indefinite period  2w,51.967282,5.663013,included,https://kamernet.nl/en/for-rent/room-wageningen/plantsoen/room-2032381,Shared,Shared,Shared,Shared,Yes,Unknown,4,1,POINT (5.663013 51.967282)
5,Lawickse Allee,Wageningen,Room,615,29,Unfurnished,01-05-'22 - Indefinite period  2w,51.968427,5.663404,included,https://kamernet.nl/en/for-rent/room-wageningen/lawickse-allee/room-2032150,Own,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (5.663404 51.968427)
6,Bevrijdingsstraat,Wageningen,Room,415,16,Unfurnished,01-05-'22 - 30-09-'23  2w,51.968823,5.66824,included,https://kamernet.nl/en/for-rent/room-wageningen/bevrijdingsstraat/room-2032027,Unknown,Shared,Shared,Shared,Yes,Unknown,5,1,POINT (5.66824 51.968823)
7,Herenstraat,Wageningen,Room,225,25,Unfurnished,04-09-'22 - Indefinite period  2w,51.965488,5.664905,included,https://kamernet.nl/en/for-rent/room-wageningen/herenstraat/room-2031968,Shared,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (5.664905 51.965488)
8,Generaal Foulkesweg,Wageningen,Room,335,13,Unfurnished,01-05-'22 - 01-01-'23  2w,51.96705,5.683232,included,https://kamernet.nl/en/for-rent/room-wageningen/generaal-foulkesweg/room-2031899,Unknown,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (5.683232 51.96705)
9,Generaal Foulkesweg,Wageningen,Room,415,22,Unfurnished,15-04-'22 - 01-01-'23  2w,51.96705,5.683232,included,https://kamernet.nl/en/for-rent/room-wageningen/generaal-foulkesweg/room-2031898,Unknown,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (5.683232 51.96705)
10,Bergstraat,Wageningen,Room,431,16,Unfurnished,17-04-'22 - Indefinite period  3w,51.967366,5.666038,excluded,https://kamernet.nl/en/for-rent/room-wageningen/bergstraat/room-2030817,Unknown,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (5.666038 51.967366)
11,Roghorst,Wageningen,Room,555,28,Furnished,25-04-'22 - Indefinite period  4w,51.978997,5.666493,included,https://kamernet.nl/en/for-rent/room-wageningen/roghorst/room-2028722,Own,Own,Shared,Own,Yes,A,1,1,POINT (5.666493 51.978997)
12,Velperbuitensingel,Arnhem,Apartment,1095,70,Unfurnished,01-05-'22 - Indefinite period  New!,51.982302,5.915139,excluded,https://kamernet.nl/en/for-rent/apartment-arnhem/velperbuitensingel/apartment-2034953,Own,Own,Own,Own,Yes,Unknown,No,2,POINT (5.915139 51.982302)
13,Graaf Ottoplein,Arnhem,Apartment,940,43,Unfurnished,15-05-'22 - 14-05-'24  12h,51.990116,5.911897,included,https://kamernet.nl/en/for-rent/apartment-arnhem/graaf-ottoplein/apartment-2034811,Own,Own,Own,Own,Yes,D,No,2,POINT (5.911897 51.990116)
14,Huissensestraat,Arnhem,Studio,525,29,Unfurnished,08-04-'22 - Indefinite period  21h,51.968311,5.907707,excluded,https://kamernet.nl/en/for-rent/studio-arnhem/huissensestraat/studio-2034746,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,By mutual agreement,1,POINT (5.907707 51.968311)
15,Boulevard Heuvelink,Arnhem,Studio,1050,50,Unfurnished,01-05-'22 - Indefinite period  21h,51.978524,5.917244,included,https://kamernet.nl/en/for-rent/studio-arnhem/boulevard-heuvelink/studio-2034728,Own,Own,Own,Own,Yes,Unknown,By mutual agreement,2,POINT (5.917244 51.978524)
16,Spoorwegstraat,Arnhem,Room,471,12,Unfurnished,07-04-'22 - Indefinite period  2d,51.985111,5.915749,included,https://kamernet.nl/en/for-rent/room-arnhem/spoorwegstraat/room-2034427,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,POINT (5.915749 51.985111)
17,Gildemeestersplein,Arnhem,Room,305,10,Unfurnished,01-06-'22 - Indefinite period  3d,51.984818,5.95262,included,https://kamernet.nl/en/for-rent/room-arnhem/gildemeestersplein/room-2034298,Unknown,Shared,Shared,Shared,Yes,C,3,1,POINT (5.95262 51.984818)
18,Rosendaalsestraat,Arnhem,Room,475,11,Furnished,01-08-'22 - Indefinite period  02 jan '21,51.987653,5.923496,included,https://kamernet.nl/en/for-rent/room-arnhem/rosendaalsestraat/room-1893144,Shared,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (5.923496 51.987653)
19,Bergstraat,Arnhem,Apartment,1200,80,Unfurnished,14-04-'22 - Indefinite period  3d,51.981856,5.901426,excluded,https://kamernet.nl/en/for-rent/apartment-arnhem/bergstraat/apartment-2034167,Own,Own,Own,Own,No,B,By mutual agreement,3,POINT (5.901426 51.981856)
20,Schepen van Hemerthstraat,Arnhem,Apartment,865,55,Unfurnished,10-04-'22 - Indefinite period  3d,51.956876,5.89077,included,https://kamernet.nl/en/for-rent/apartment-arnhem/schepen-van-hemerthstraat/apartment-2034154,Own,Own,Own,Own,Yes,Unknown,Yes,3,POINT (5.89077 51.956876)
21,Schepen van Hemerthstraat,Arnhem,Apartment,725,37,Unfurnished,10-04-'22 - Indefinite period  3d,51.956876,5.89077,included,https://kamernet.nl/en/for-rent/apartment-arnhem/schepen-van-hemerthstraat/apartment-2034153,Own,Own,Own,Own,Yes,A,No,2,POINT (5.89077 51.956876)
22,Rosendaalsestraat,Arnhem,Room,370,17,Uncarpeted,16-04-'22 - Indefinite period  4d,51.988216,5.924629,included,https://kamernet.nl/en/for-rent/room-arnhem/rosendaalsestraat/room-2034065,Unknown,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (5.924629 51.988216)
23,Dijkstraat,Arnhem,Room,400,20,Unfurnished,05-04-'22 - Indefinite period  4d,51.980498,5.91895,included,https://kamernet.nl/en/for-rent/room-arnhem/dijkstraat/room-2034056,Own,Shared,Shared,Shared,Yes,Unknown,5,1,POINT (5.91895 51.980498)
24,Eusebiusbuitensingel,Arnhem,Room,596,36,Unfurnished,01-05-'22 - Indefinite period  4d,51.978935,5.916306,included,https://kamernet.nl/en/for-rent/room-arnhem/eusebiusbuitensingel/room-2033990,Own,Shared,Shared,Shared,Yes,Unknown,Unknown,2,POINT (5.916306 51.978935)
25,Renssenstraat,Arnhem,Room,447,16,Unfurnished,05-04-'22 - Indefinite period  4d,51.984802,5.897198,included,https://kamernet.nl/en/for-rent/room-arnhem/renssenstraat/room-2033973,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,POINT (5.897198 51.984802)
26,Teisterbantstraat,Arnhem,Apartment,695,25,Unfurnished,05-04-'22 - Indefinite period  4d,51.984779,5.962134,excluded,https://kamernet.nl/en/for-rent/apartment-arnhem/teisterbantstraat/apartment-2033975,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,1,POINT (5.962134 51.984779)
27,Weverstraat,Arnhem,Apartment,1195,60,Unfurnished,05-04-'22 - Indefinite period  4d,51.98051,5.906624,included,https://kamernet.nl/en/for-rent/apartment-arnhem/weverstraat/apartment-2033974,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,By mutual agreement,3,POINT (5.906624 51.98051)
28,Johan de Wittlaan,Arnhem,Apartment,850,30,Unfurnished,01-05-'22 - Indefinite period  4d,51.979012,5.935331,included,https://kamernet.nl/en/for-rent/apartment-arnhem/johan-de-wittlaan/apartment-2033966,Own,Own,Own,Own,Yes,Unknown,No,1,POINT (5.935331 51.979012)
29,Korenmarkt,Arnhem,Room,508,25,Unfurnished,01-05-'22 - Indefinite period  4d,51.982619,5.904295,included,https://kamernet.nl/en/for-rent/room-arnhem/korenmarkt/room-2033939,Own,Shared,Shared,Shared,No,Unknown,5,1,POINT (5.904295 51.982619)
30,Hertogstraat,Arnhem,Room,672,28,Unfurnished,05-04-'22 - Indefinite period  4d,51.983633,5.921978,included,https://kamernet.nl/en/for-rent/room-arnhem/hertogstraat/room-2033934,Own,Own,Shared,Shared,Yes,Unknown,3,1,POINT (5.921978 51.983633)
31,Hertogstraat,Arnhem,Room,674,30,Unfurnished,01-05-'22 - Indefinite period  4d,51.983633,5.921978,included,https://kamernet.nl/en/for-rent/room-arnhem/hertogstraat/room-2033932,Own,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (5.921978 51.983633)
32,Johan de Wittlaan,Arnhem,Room,920,48,Unfurnished,29-04-'22 - 29-04-'23  5d,51.978559,5.923696,excluded,https://kamernet.nl/en/for-rent/room-arnhem/johan-de-wittlaan/room-2033672,Own,Own,Own,Own,Yes,Unknown,Unknown,2,POINT (5.923696 51.978559)
33,Spijkerlaan,Arnhem,Room,712,33,Unfurnished,01-05-'22 - Indefinite period  5d,51.983009,5.918877,included,https://kamernet.nl/en/for-rent/room-arnhem/spijkerlaan/room-2033634,Own,Own,Own,Shared,No,Unknown,7,1,POINT (5.918877 51.983009)
34,Loevesteinlaan,Arnhem,Room,370,10,Uncarpeted,01-05-'22 - Indefinite period  6d,51.984442,5.963654,included,https://kamernet.nl/en/for-rent/room-arnhem/loevesteinlaan/room-2033518,Shared,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (5.963654 51.984442)
35,Van Lawick van Pabststraat,Arnhem,Room,400,24,Unfurnished,01-05-'22 - Indefinite period  6d,51.989736,5.894537,excluded,https://kamernet.nl/en/for-rent/room-arnhem/van-lawick-van-pabststraat/room-2033457,Unknown,Shared,Shared,Shared,Yes,G,2,1,POINT (5.894537 51.989736)
36,Graaf Lodewijkstraat,Arnhem,Room,295,10,Furnished,01-05-'22 - 30-04-'23  1w,51.989997,5.913509,included,https://kamernet.nl/en/for-rent/room-arnhem/graaf-lodewijkstraat/room-2033281,Shared,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (5.913509 51.989997)
37,Rosendaalsestraat,Arnhem,Room,475,11,Furnished,01-08-'22 - Indefinite period  02 jan '21,51.987653,5.923496,included,https://kamernet.nl/en/for-rent/room-arnhem/rosendaalsestraat/room-1893144,Shared,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (5.923496 51.987653)
38,Hisveltplein,Arnhem,Room,450,11,Furnished,29-04-'22 - Indefinite period  1w,51.984568,5.951717,included,https://kamernet.nl/en/for-rent/room-arnhem/hisveltplein/room-2033285,Unknown,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (5.951717 51.984568)
39,Boulevard Heuvelink,Arnhem,Apartment,699,36,Unfurnished,15-04-'22 - Indefinite period  1w,51.978524,5.917244,included,https://kamernet.nl/en/for-rent/apartment-arnhem/boulevard-heuvelink/apartment-1979791,Own,Own,Shared,Shared,Unknown,Unknown,No,2,POINT (5.917244 51.978524)
40,Gildemeestersplein,Arnhem,Room,325,9,Unfurnished,17-04-'22 - Indefinite period  1w,51.984818,5.95262,included,https://kamernet.nl/en/for-rent/room-arnhem/gildemeestersplein/room-2033218,Unknown,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (5.95262 51.984818)
41,St. Antonielaan,Arnhem,Room,350,11,Uncarpeted,01-05-'22 - Indefinite period  1w,51.990596,5.913362,included,https://kamernet.nl/en/for-rent/room-arnhem/st.-antonielaan/room-2033087,Shared,Shared,Shared,Shared,Yes,Unknown,5,1,POINT (5.913362 51.990596)
42,Gildemeestersplein,Arnhem,Apartment,300,9,Unfurnished,02-04-'22 - Indefinite period  1w,51.984818,5.95262,included,https://kamernet.nl/en/for-rent/apartment-arnhem/gildemeestersplein/apartment-2033068,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,By mutual agreement,1,POINT (5.95262 51.984818)
43,Zijpendaalseweg,Arnhem,Apartment,403,13,Unfurnished,02-04-'22 - Indefinite period  1w,51.986585,5.902843,included,https://kamernet.nl/en/for-rent/apartment-arnhem/zijpendaalseweg/apartment-2033067,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,By mutual agreement,1,POINT (5.902843 51.986585)
44,Gildemeestersplein,Arnhem,Apartment,450,17,Unfurnished,02-04-'22 - Indefinite period  1w,51.984818,5.95262,included,https://kamernet.nl/en/for-rent/apartment-arnhem/gildemeestersplein/apartment-2032842,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,By mutual agreement,1,POINT (5.95262 51.984818)
45,Lupinestraat,Arnhem,Room,425,16,Unfurnished,01-04-'22 - 31-03-'23  1w,51.968754,5.898218,included,https://kamernet.nl/en/for-rent/room-arnhem/lupinestraat/room-2032821,Shared,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (5.898218 51.968754)
46,Driekoningenstraat,Arnhem,Room,440,20,Unfurnished,30-03-'22 - Indefinite period  1w,51.983452,5.921273,included,https://kamernet.nl/en/for-rent/room-arnhem/driekoningenstraat/room-2032757,Own,Shared,Shared,Shared,Yes,Unknown,6,1,POINT (5.921273 51.983452)
47,Lange Wal,Arnhem,Apartment,310,9,Furnished,02-04-'22 - Indefinite period  1w,51.98223,5.950789,included,https://kamernet.nl/en/for-rent/apartment-arnhem/lange-wal/apartment-2032621,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,By mutual agreement,1,POINT (5.950789 51.98223)
48,Huissensestraat,Arnhem,Room,400,15,Unfurnished,01-05-'22 - Indefinite period  1w,51.968311,5.907707,included,https://kamernet.nl/en/for-rent/room-arnhem/huissensestraat/room-2032614,Own,Shared,Shared,Shared,No,E,2,1,POINT (5.907707 51.968311)
49,Herminiumstraat,Arnhem,Room,360,15,Unfurnished,01-04-'22 - 01-09-'26  2w,51.963171,5.922255,included,https://kamernet.nl/en/for-rent/room-arnhem/herminiumstraat/room-2032534,Unknown,Shared,Shared,Shared,Yes,Unknown,7,1,POINT (5.922255 51.963171)
50,Eeshofstraat,Arnhem,Apartment,400,12,Unfurnished,15-04-'22 - Indefinite period  2w,51.98633,5.959508,included,https://kamernet.nl/en/for-rent/apartment-arnhem/eeshofstraat/apartment-2032480,Own,Shared,Shared,Shared,Yes,Unknown,No,1,POINT (5.959508 51.98633)
51,Herminiumstraat,Arnhem,Room,360,15,Furnished,28-03-'22 - Indefinite period  2w,51.963171,5.922255,included,https://kamernet.nl/en/for-rent/room-arnhem/herminiumstraat/room-2032100,Own,Own,Own,Own,Yes,Unknown,7,1,POINT (5.922255 51.963171)
52,Gamerslagplein,Arnhem,Apartment,485,18,Unfurnished,02-04-'22 - Indefinite period  2w,51.9842,5.950967,included,https://kamernet.nl/en/for-rent/apartment-arnhem/gamerslagplein/apartment-2031732,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,By mutual agreement,1,POINT (5.950967 51.9842)
53,Johan de Wittlaan,Arnhem,Apartment,450,18,Unfurnished,02-04-'22 - Indefinite period  2w,51.979385,5.926295,included,https://kamernet.nl/en/for-rent/apartment-arnhem/johan-de-wittlaan/apartment-2031730,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,By mutual agreement,1,POINT (5.926295 51.979385)
54,Hanzestraat,Arnhem,Apartment,485,18,Unfurnished,02-04-'22 - Indefinite period  2w,51.98329,5.952624,included,https://kamernet.nl/en/for-rent/apartment-arnhem/hanzestraat/apartment-2031729,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,By mutual agreement,1,POINT (5.952624 51.98329)
55,Koningsplein,Arnhem,Room,175,9,Unfurnished,01-05-'22 - Indefinite period  2w,51.980863,5.913184,excluded,https://kamernet.nl/en/for-rent/room-arnhem/koningsplein/room-2031550,Unknown,Shared,Shared,Shared,Yes,Unknown,7,1,POINT (5.913184 51.980863)
56,Rosendaalsestraat,Arnhem,Room,475,11,Furnished,01-08-'22 - Indefinite period  02 jan '21,51.987653,5.923496,included,https://kamernet.nl/en/for-rent/room-arnhem/rosendaalsestraat/room-1893144,Shared,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (5.923496 51.987653)
57,Van Borselenstraat,Arnhem,Room,475,12,Furnished,06-04-'22 - Indefinite period  3w,51.981041,5.950024,included,https://kamernet.nl/en/for-rent/room-arnhem/van-borselenstraat/room-2030796,Unknown,Shared,Shared,Shared,Yes,Unknown,1,1,POINT (5.950024 51.981041)
58,Loplein,Arnhem,Room,325,8,Unfurnished,26-05-'21 - Indefinite period  3w,51.95374,5.925296,included,https://kamernet.nl/en/for-rent/room-arnhem/loplein/room-1947393,Shared,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (5.925296 51.95374)
59,Steenstraat,Arnhem,Room,270,14,Unfurnished,01-05-'22 - Indefinite period  3w,51.983451,5.915213,excluded,https://kamernet.nl/en/for-rent/room-arnhem/steenstraat/room-2030241,Unknown,Shared,Shared,Shared,Yes,Unknown,4,1,POINT (5.915213 51.983451)
60,Nieuwe Plein,Arnhem,Room,498,19,Unfurnished,01-05-'22 - Indefinite period  3w,51.982084,5.903465,included,https://kamernet.nl/en/for-rent/room-arnhem/nieuwe-plein/room-2030205,Own,Own,Shared,Shared,No,Unknown,6,1,POINT (5.903465 51.982084)
61,Zuidelijke Parallelweg,Arnhem,Room,640,17,Unfurnished,16-03-'22 - Indefinite period  3w,51.986226,5.88172,included,https://kamernet.nl/en/for-rent/room-arnhem/zuidelijke-parallelweg/room-2030087,Shared,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (5.88172 51.986226)
62,Wijenburglaan,Arnhem,Room,450,19,Unfurnished,17-03-'22 - Indefinite period  2w,51.985372,5.964186,included,https://kamernet.nl/en/for-rent/room-arnhem/wijenburglaan/room-2030126,Unknown,Shared,Shared,Shared,Yes,Unknown,None,1,POINT (5.964186 51.985372)
63,Klaverlaan,Arnhem,Room,600,35,Uncarpeted,15-03-'22 - 15-04-'23  4w,51.96806,5.903233,included,https://kamernet.nl/en/for-rent/room-arnhem/klaverlaan/room-2029740,Unknown,Shared,Shared,Shared,No,Unknown,3,1,POINT (5.903233 51.96806)
64,Hisveltplein,Arnhem,Room,475,17,Furnished,01-04-'22 - 01-04-'27  4w,51.984568,5.951717,included,https://kamernet.nl/en/for-rent/room-arnhem/hisveltplein/room-2029628,Unknown,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (5.951717 51.984568)
65,Beijerplaats,Arnhem,Studio,1150,30,Furnished,13-03-'22 - Indefinite period  4w,51.981282,5.912459,included,https://kamernet.nl/en/for-rent/studio-arnhem/beijerplaats/studio-2029251,Own,Own,Own,Own,Yes,Unknown,No,1,POINT (5.912459 51.981282)
66,Westervoortsedijk,Arnhem,Apartment,1150,70,Unfurnished,15-07-'22 - Indefinite period  4w,51.971345,5.926165,excluded,https://kamernet.nl/en/for-rent/apartment-arnhem/westervoortsedijk/apartment-2029054,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,By mutual agreement,2,POINT (5.926165 51.971345)
67,Zijpendaalseweg,Arnhem,Apartment,449,12,Unfurnished,02-04-'22 - Indefinite period  4w,51.986585,5.902843,included,https://kamernet.nl/en/for-rent/apartment-arnhem/zijpendaalseweg/apartment-2028790,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,By mutual agreement,1,POINT (5.902843 51.986585)
68,Driekoningenstraat,Arnhem,Room,730,27,Unfurnished,01-04-'22 - Indefinite period  08 Mar,51.984188,5.920612,included,https://kamernet.nl/en/for-rent/room-arnhem/driekoningenstraat/room-2028332,Own,Own,Shared,Shared,Yes,Unknown,5,1,POINT (5.920612 51.984188)
69,Van Dortmondtstraat,Arnhem,Apartment,300,15,Unfurnished,07-03-'22 - Indefinite period  07 Mar,51.991677,5.917232,included,https://kamernet.nl/en/for-rent/apartment-arnhem/van-dortmondtstraat/apartment-2028220,Shared,Shared,Shared,Shared,Yes,Unknown,No,1,POINT (5.917232 51.991677)
70,IJssellaan,Arnhem,Studio,800,50,Unfurnished,01-04-'22 - 01-10-'22  05 Mar,51.982177,5.941274,excluded,https://kamernet.nl/en/for-rent/studio-arnhem/ijssellaan/studio-2027734,Own,Own,Own,Own,Yes,A,No,2,POINT (5.941274 51.982177)
71,Looierstraat,Arnhem,Apartment,895,58,Unfurnished,23-11-'21 - Indefinite period  23 nov '21,51.983476,5.910603,excluded,https://kamernet.nl/en/for-rent/apartment-arnhem/looierstraat/apartment-2004031,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,2,POINT (5.910603 51.983476)
72,Velperweg,Arnhem,Apartment,2250,140,Unfurnished,01-02-'21 - Indefinite period  29 jan '21,51.993073,5.950134,excluded,https://kamernet.nl/en/for-rent/apartment-arnhem/velperweg/apartment-1904437,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,By mutual agreement,4,POINT (5.950134 51.993073)
73,Rosendaalsestraat,Arnhem,Room,475,11,Furnished,01-08-'22 - Indefinite period  02 jan '21,51.987653,5.923496,included,https://kamernet.nl/en/for-rent/room-arnhem/rosendaalsestraat/room-1893144,Shared,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (5.923496 51.987653)
74,Pierre Kemphove,Zoetermeer,Room,700,16,Uncarpeted,31-03-'22 - Indefinite period  1w,52.064991,4.487901,included,https://kamernet.nl/en/for-rent/room-zoetermeer/pierre-kemphove/room-2032797,Shared,Shared,Shared,Shared,Yes,C,3,1,POINT (4.487901 52.064991)
75,Stadhoudersring,Zoetermeer,Room,450,9,Furnished,23-02-'22 - Indefinite period  24 Feb,52.051394,4.480187,included,https://kamernet.nl/en/for-rent/room-zoetermeer/stadhoudersring/room-2025648,Shared,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.480187 52.051394)
76,Vrijheidslaan,Leiden,Room,350,15,Unfurnished,24-04-'22 - Indefinite period  2d,52.147806,4.483006,included,https://kamernet.nl/en/for-rent/room-leiden/vrijheidslaan/room-2034582,Shared,Shared,Shared,Shared,No,Unknown,More than 8,1,POINT (4.483006 52.147806)
77,Morsweg,Leiden,Studio,875,25,Unfurnished,01-05-'22 - Indefinite period  2d,52.160477,4.476002,included,https://kamernet.nl/en/for-rent/studio-leiden/morsweg/studio-2034512,Unknown,Own,Own,Own,Yes,Unknown,No,1,POINT (4.476002 52.160477)
78,Vlietweg,Leiden,Room,825,50,Furnished,01-05-'22 - Indefinite period  2d,52.135893,4.476763,included,https://kamernet.nl/en/for-rent/room-leiden/vlietweg/room-2034501,Own,Shared,Shared,Shared,Yes,Unknown,3,2,POINT (4.476763 52.135893)
79,Turfmarkt,Leiden,Apartment,1275,30,Furnished,01-04-'22 - Indefinite period  2d,52.1623,4.486028,included,https://kamernet.nl/en/for-rent/apartment-leiden/turfmarkt/apartment-2033035,Own,Own,Own,Own,Yes,Unknown,No,2,POINT (4.486028 52.1623)
80,Haarlemmerstraat,Leiden,Room,570,20,Unfurnished,09-05-'22 - Indefinite period  3d,52.160388,4.493696,included,https://kamernet.nl/en/for-rent/room-leiden/haarlemmerstraat/room-2034371,Shared,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (4.493696 52.160388)
81,Oude Singel,Leiden,Room,350,8,Uncarpeted,30-04-'22 - Indefinite period  3d,52.162842,4.489241,included,https://kamernet.nl/en/for-rent/room-leiden/oude-singel/room-2034353,Shared,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (4.489241 52.162842)
82,Schipholweg,Leiden,Studio,615,17,Furnished,01-01-'22 - Indefinite period  08 jan '21,52.169233,4.488538,excluded,https://kamernet.nl/en/for-rent/studio-leiden/schipholweg/studio-1867214,Unknown,Own,Own,Own,Yes,Unknown,No,1,POINT (4.488538 52.169233)
83,Atjehstraat,Leiden,Room,425,13,Unfurnished,01-05-'22 - Indefinite period  3d,52.165121,4.511826,included,https://kamernet.nl/en/for-rent/room-leiden/atjehstraat/room-2034267,Unknown,Shared,Shared,Shared,No,Unknown,3,1,POINT (4.511826 52.165121)
84,Uiterstegracht,Leiden,Apartment,3500,115,Unfurnished,05-04-'22 - Indefinite period  4d,52.159911,4.498903,excluded,https://kamernet.nl/en/for-rent/apartment-leiden/uiterstegracht/apartment-2034080,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,By mutual agreement,4,POINT (4.498903 52.159911)
85,Klikspaanweg,Leiden,Room,290,10,Unfurnished,29-04-'22 - Indefinite period  4d,52.153139,4.471976,included,https://kamernet.nl/en/for-rent/room-leiden/klikspaanweg/room-2017357,Shared,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (4.471976 52.153139)
86,Schipholweg,Leiden,Room,614,25,Unfurnished,05-04-'22 - Indefinite period  4d,52.169233,4.488538,included,https://kamernet.nl/en/for-rent/room-leiden/schipholweg/room-2034018,Own,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (4.488538 52.169233)
87,Pelikaanhof,Leiden,Room,320,12,Uncarpeted,25-04-'22 - Indefinite period  4d,52.161669,4.496817,included,https://kamernet.nl/en/for-rent/room-leiden/pelikaanhof/room-2033972,Shared,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (4.496817 52.161669)
88,Drie Octoberstraat,Leiden,Apartment,775,22,Unfurnished,01-05-'22 - Indefinite period  4d,52.151379,4.487621,included,https://kamernet.nl/en/for-rent/apartment-leiden/drie-octoberstraat/apartment-2033943,Own,Own,Own,Own,Yes,F,No,2,POINT (4.487621 52.151379)
89,Flanorpad,Leiden,Room,317,13,Unfurnished,02-05-'22 - Indefinite period  4d,52.17059,4.477029,included,https://kamernet.nl/en/for-rent/room-leiden/flanorpad/room-2033898,Shared,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (4.477029 52.17059)
90,Bartokstraat,Leiden,Room,650,14,Furnished,01-07-'22 - 01-07-'23  4d,52.141442,4.469982,included,https://kamernet.nl/en/for-rent/room-leiden/bartokstraat/room-2033841,Shared,Shared,Shared,Shared,Yes,Unknown,1,1,POINT (4.469982 52.141442)
91,Schipholweg,Leiden,Studio,498,18,Furnished,04-04-'22 - Indefinite period  4d,52.167466,4.485769,excluded,https://kamernet.nl/en/for-rent/studio-leiden/schipholweg/studio-2033791,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,By mutual agreement,1,POINT (4.485769 52.167466)
92,Schipholweg,Leiden,Studio,495,20,Furnished,04-04-'22 - Indefinite period  5d,52.167466,4.485769,excluded,https://kamernet.nl/en/for-rent/studio-leiden/schipholweg/studio-2033787,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,By mutual agreement,1,POINT (4.485769 52.167466)
93,Opaalstraat,Leiden,Room,596,23,Uncarpeted,04-04-'22 - Indefinite period  5d,52.158596,4.464027,included,https://kamernet.nl/en/for-rent/room-leiden/opaalstraat/room-2033712,Own,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (4.464027 52.158596)
