,adress,city,room_type,rent,surface m2,furnish,availability,latitude,longitude,utilities,link,living_room,kitchen,shower,toilet,internet,energy_label,pets,room,geometry
1390,van Heemstrastraat,Leeuwarden,Room,325,12,Uncarpeted,06-04-'22 - Indefinite period  3d,53.197778,5.812038,included,https://kamernet.nl/en/for-rent/room-leeuwarden/van-heemstrastraat/room-2034278,Own,Shared,Shared,Shared,Unknown,Unknown,4,1,POINT (5.812038 53.197778)
1391,Nieuweburen,Leeuwarden,Room,510,30,Uncarpeted,01-05-'22 - Indefinite period  3d,53.204741,5.798304,included,https://kamernet.nl/en/for-rent/room-leeuwarden/nieuweburen/room-2034277,Unknown,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (5.798304 53.204741)
1392,Skrok,Leeuwarden,Apartment,2100,105,Uncarpeted,17-04-'22 - Indefinite period  3d,53.214605,5.786579,excluded,https://kamernet.nl/en/for-rent/apartment-leeuwarden/skrok/apartment-2034155,Own,Own,Own,Own,Yes,B,By mutual agreement,5,POINT (5.786579 53.214605)
1393,Mendelssohnstraat,Leeuwarden,Apartment,760,50,Unfurnished,04-04-'22 - Indefinite period  5d,53.208128,5.781527,excluded,https://kamernet.nl/en/for-rent/apartment-leeuwarden/mendelssohnstraat/apartment-2033679,Own,Own,Own,Own,Unknown,Unknown,No,2,POINT (5.781527 53.208128)
1394,Dokkumerstraat,Leeuwarden,Room,250,7,Furnished,01-07-'22 - 01-02-'23  3d,53.207816,5.801645,included,https://kamernet.nl/en/for-rent/room-leeuwarden/dokkumerstraat/room-2034214,Shared,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (5.801645 53.207816)
1395,Claes Bockes Balckstraat,Leeuwarden,Room,352,16,Unfurnished,01-05-'22 - Indefinite period  4d,53.201715,5.810809,included,https://kamernet.nl/en/for-rent/room-leeuwarden/claes-bockes-balckstraat/room-2034030,Unknown,Shared,Shared,Shared,Yes,Unknown,4,1,POINT (5.810809 53.201715)
1396,Lange Marktstraat,Leeuwarden,Studio,424,19,Furnished,05-04-'22 - Indefinite period  4d,53.197261,5.790455,excluded,https://kamernet.nl/en/for-rent/studio-leeuwarden/lange-marktstraat/studio-2034003,Own,Own,Own,Own,Yes,B,No,1,POINT (5.790455 53.197261)
1397,Prins Bernhardstraat,Leeuwarden,Apartment,763,70,Unfurnished,04-04-'22 - Indefinite period  5d,53.18622,5.795175,excluded,https://kamernet.nl/en/for-rent/apartment-leeuwarden/prins-bernhardstraat/apartment-2033718,Own,Own,Own,Own,Unknown,Unknown,No,4,POINT (5.795175 53.18622)
1398,Prins Bernhardstraat,Leeuwarden,Apartment,763,70,Unfurnished,01-06-'22 - Indefinite period  5d,53.18622,5.795175,excluded,https://kamernet.nl/en/for-rent/apartment-leeuwarden/prins-bernhardstraat/apartment-2033709,Own,Own,Own,Own,Unknown,Unknown,No,4,POINT (5.795175 53.18622)
1399,Weerd,Leeuwarden,Apartment,763,60,Unfurnished,01-07-'22 - Indefinite period  5d,53.201359,5.795276,excluded,https://kamernet.nl/en/for-rent/apartment-leeuwarden/weerd/apartment-2033692,Own,Own,Own,Own,Yes,Unknown,No,3,POINT (5.795276 53.201359)
1400,Willemskade,Leeuwarden,Apartment,705,35,Unfurnished,04-04-'22 - Indefinite period  5d,53.198852,5.791423,excluded,https://kamernet.nl/en/for-rent/apartment-leeuwarden/willemskade/apartment-2033691,Own,Own,Own,Own,Yes,C,No,2,POINT (5.791423 53.198852)
1401,Emmakade,Leeuwarden,Room,450,23,Unfurnished,01-05-'22 - Indefinite period  6d,53.199676,5.812142,included,https://kamernet.nl/en/for-rent/room-leeuwarden/emmakade/room-2033447,Unknown,Shared,Shared,Shared,Yes,Unknown,5,1,POINT (5.812142 53.199676)
1402,Lenteklokje,Leeuwarden,Room,375,27,Uncarpeted,03-04-'22 - Indefinite period  6d,53.189471,5.823115,included,https://kamernet.nl/en/for-rent/room-leeuwarden/lenteklokje/room-2032694,Own,Shared,Shared,Shared,Yes,D,2,1,POINT (5.823115 53.189471)
1403,Dokkumerstraat,Leeuwarden,Room,375,15,Uncarpeted,01-04-'22 - Indefinite period  1w,53.207654,5.80156,included,https://kamernet.nl/en/for-rent/room-leeuwarden/dokkumerstraat/room-2033126,Shared,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (5.80156 53.207654)
1404,Baljeestraat,Leeuwarden,Room,340,14,Unfurnished,15-04-'22 - Indefinite period  1w,53.197402,5.794322,excluded,https://kamernet.nl/en/for-rent/room-leeuwarden/baljeestraat/room-2033047,Unknown,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (5.794322 53.197402)
1405,Jacob Binckesstraat,Leeuwarden,Room,413,14,Unfurnished,01-05-'22 - Indefinite period  1w,53.204985,5.809327,included,https://kamernet.nl/en/for-rent/room-leeuwarden/jacob-binckesstraat/room-1942517,Unknown,Shared,Shared,Shared,Yes,Unknown,4,1,POINT (5.809327 53.204985)
1406,Engelsestraat,Leeuwarden,Room,295,19,Unfurnished,01-05-'22 - Indefinite period  1w,53.203246,5.782688,excluded,https://kamernet.nl/en/for-rent/room-leeuwarden/engelsestraat/room-1812413,Own,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (5.782688 53.203246)
1407,Zuidvliet,Leeuwarden,Room,430,14,Furnished,01-05-'22 - Indefinite period  2w,53.202229,5.809143,included,https://kamernet.nl/en/for-rent/room-leeuwarden/zuidvliet/room-2032443,Shared,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (5.809143 53.202229)
1408,3e Vegelindwarsstraat,Leeuwarden,Room,300,14,Uncarpeted,22-04-'22 - Indefinite period  2w,53.196664,5.80908,included,https://kamernet.nl/en/for-rent/room-leeuwarden/3e-vegelindwarsstraat/room-2032320,Unknown,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (5.80908 53.196664)
1409,Baljeestraat,Leeuwarden,Room,400,15,Unfurnished,01-06-'22 - Indefinite period  2w,53.197402,5.794322,excluded,https://kamernet.nl/en/for-rent/room-leeuwarden/baljeestraat/room-2031404,Unknown,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (5.794322 53.197402)
1410,Dokkumerstraat,Leeuwarden,Room,400,16,Uncarpeted,01-04-'22 - Indefinite period  2w,53.207654,5.80156,included,https://kamernet.nl/en/for-rent/room-leeuwarden/dokkumerstraat/room-2032065,Shared,Own,Shared,Shared,No,Unknown,3,1,POINT (5.80156 53.207654)
1411,3e Vegelindwarsstraat,Leeuwarden,Room,300,14,Uncarpeted,01-04-'22 - Indefinite period  2w,53.196664,5.80908,included,https://kamernet.nl/en/for-rent/room-leeuwarden/3e-vegelindwarsstraat/room-2031890,Unknown,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (5.80908 53.196664)
1412,Skrok,Leeuwarden,Apartment,2100,105,Uncarpeted,17-04-'22 - Indefinite period  3d,53.214605,5.786579,excluded,https://kamernet.nl/en/for-rent/apartment-leeuwarden/skrok/apartment-2034155,Own,Own,Own,Own,Yes,B,By mutual agreement,5,POINT (5.786579 53.214605)
1413,Mendelssohnstraat,Leeuwarden,Apartment,760,50,Unfurnished,04-04-'22 - Indefinite period  5d,53.208128,5.781527,excluded,https://kamernet.nl/en/for-rent/apartment-leeuwarden/mendelssohnstraat/apartment-2033679,Own,Own,Own,Own,Unknown,Unknown,No,2,POINT (5.781527 53.208128)
1414,Hoekemastraat,Leeuwarden,Apartment,763,152,Unfurnished,01-05-'22 - Indefinite period  2w,53.19572,5.799335,excluded,https://kamernet.nl/en/for-rent/apartment-leeuwarden/hoekemastraat/apartment-2031832,Own,Own,Own,Own,Unknown,Unknown,No,3,POINT (5.799335 53.19572)
